"","tg_ecotypeid","latitude","longitude","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","solar_min","solar_max","solar_median","solar_mean","wind_min","wind_max","wind_median","wind_mean","vapr_min","vapr_max","vapr_median","vapr_mean"
"1",88,47.4,0.683333,115,90,37,5535,251,9,242,53,186,186,44,669,66,47,11,190,145,145,181,2897,20310,11960.5,11762.8333333333,3.40700006484985,4.54299974441528,3.94999992847443,4.00599998235703,0.730700016021729,1.5217000246048,1.0276999771595,1.07364167273045
"2",108,48.5167,-4.06667,108,63,37,3830,199,31,168,69,155,158,60,1049,134,47,31,377,162,189,363,2787,19635,11202,11185.1666666667,4.16799974441528,5.92799997329712,5.18999981880188,5.11399992307027,0.809700012207031,1.54429996013641,1.04995000362396,1.11707498629888
"3",139,48.5167,-4.06667,108,63,37,3830,199,31,168,69,155,158,60,1049,134,47,31,377,162,189,363,2787,19635,11202,11185.1666666667,4.16799974441528,5.92799997329712,5.18999981880188,5.11399992307027,0.809700012207031,1.54429996013641,1.04995000362396,1.11707498629888
"4",159,47.35,3.93333,100,83,34,5862,233,-11,244,34,62,174,23,804,79,54,12,218,173,209,210,2913,20683,12043,11818.0833333333,2.7409999370575,3.94000005722046,3.40299999713898,3.38516666491826,0.613499999046326,1.46650004386902,0.919600009918213,0.980216667056084
"5",265,44.65,-1.16667,129,92,40,4895,251,26,225,75,191,191,66,1105,130,57,23,362,207,235,334,3982,21779,13390,12985,3.32400012016296,4.31599998474121,3.91400003433228,3.86383334795634,0.843400001525879,1.82780003547668,1.1667999625206,1.25866666932901
"6",350,46.6667,4.11667,107,84,33,6049,244,-7,251,184,68,184,27,764,82,50,16,217,153,217,171,3043,21176,12362.5,12037.3333333333,2.61800003051758,3.64499998092651,3.130499958992,3.13508333762487,0.63019996881485,1.53310000896454,0.947500020265579,1.01200000445048
"7",351,46.6667,4.11667,107,84,33,6049,244,-7,251,184,68,184,27,764,82,50,16,217,153,217,171,3043,21176,12362.5,12037.3333333333,2.61800003051758,3.64499998092651,3.130499958992,3.13508333762487,0.63019996881485,1.53310000896454,0.947500020265579,1.01200000445048
"8",403,49.3667,16.2667,76,87,30,7068,227,-57,284,164,-4,164,-18,601,85,28,40,241,89,241,92,2268,19769,10562.5,10953.8333333333,3.07399988174438,4.17000007629395,3.76450002193451,3.66283333301544,0.446899980306625,1.35290002822876,0.783300012350082,0.855758339166641
"9",410,49.4211,16.3497,72,85,30,6994,220,-60,280,158,-8,158,-21,622,88,29,41,251,91,251,95,2269,19718,10524.5,10934.75,3.23200011253357,4.44000005722046,4.07999992370605,3.91858333349228,0.440299987792969,1.32410001754761,0.768199980258942,0.838233319421609
"10",424,49.4112,16.2815,76,87,30,7068,227,-57,284,164,-4,164,-18,601,85,28,40,241,89,241,92,2268,19769,10562.5,10953.8333333333,3.07399988174438,4.17000007629395,3.76450002193451,3.66283333301544,0.446899980306625,1.35290002822876,0.783300012350082,0.855758339166641
"11",428,49.403,16.232,71,85,30,6985,220,-60,280,158,-8,158,-21,637,89,31,39,254,96,254,100,2299,19766,10567,10945.4166666667,3.25200009346008,4.4370002746582,4.05099999904633,3.91000000635783,0.438100010156631,1.32790005207062,0.762999981641769,0.836050016184648
"12",430,47,15.5,84,100,31,7580,249,-67,316,179,-17,179,-17,882,124,33,41,355,114,355,114,3122,19995,11670,11659.4166666667,1.41699993610382,2.29399991035461,1.67700004577637,1.79058334231377,0.451599985361099,1.55260002613068,0.858200013637543,0.941733332971732
"13",470,40.8313,-87.735,98,115,29,9960,292,-104,396,200,-38,220,-38,966,104,41,26,310,151,298,151,4779,21829,14047.5,13446.6666666667,2.79999995231628,4.90000009536743,4.25099992752075,3.99183332920074,0.389999985694885,2.09959983825684,0.911150008440018,1.08944165458282
"14",476,40.8313,-87.735,98,115,29,9960,292,-104,396,200,-38,220,-38,966,104,41,26,310,151,298,151,4779,21829,14047.5,13446.6666666667,2.79999995231628,4.90000009536743,4.25099992752075,3.99183332920074,0.389999985694885,2.09959983825684,0.911150008440018,1.08944165458282
"15",484,40.8313,-87.735,98,115,29,9960,292,-104,396,200,-38,220,-38,966,104,41,26,310,151,298,151,4779,21829,14047.5,13446.6666666667,2.79999995231628,4.90000009536743,4.25099992752075,3.99183332920074,0.389999985694885,2.09959983825684,0.911150008440018,1.08944165458282
"16",504,40.8313,-87.735,98,115,29,9960,292,-104,396,200,-38,220,-38,966,104,41,26,310,151,298,151,4779,21829,14047.5,13446.6666666667,2.79999995231628,4.90000009536743,4.25099992752075,3.99183332920074,0.389999985694885,2.09959983825684,0.911150008440018,1.08944165458282
"17",506,40.8313,-87.735,98,115,29,9960,292,-104,396,200,-38,220,-38,966,104,41,26,310,151,298,151,4779,21829,14047.5,13446.6666666667,2.79999995231628,4.90000009536743,4.25099992752075,3.99183332920074,0.389999985694885,2.09959983825684,0.911150008440018,1.08944165458282
"18",531,40.8313,-87.735,98,115,29,9960,292,-104,396,200,-38,220,-38,966,104,41,26,310,151,298,151,4779,21829,14047.5,13446.6666666667,2.79999995231628,4.90000009536743,4.25099992752075,3.99183332920074,0.389999985694885,2.09959983825684,0.911150008440018,1.08944165458282
"19",544,40.9076,-73.2089,110,96,29,8378,279,-51,330,93,2,217,2,1151,107,83,8,311,274,287,274,5595,21203,13787,13644.1666666667,3.63295459747314,5.11704540252686,4.49261379241943,4.46060611804326,0.400000005960464,2.0359091758728,0.898749947547913,1.06964960694313
"20",546,40.9076,-73.2089,110,96,29,8378,279,-51,330,93,2,217,2,1151,107,83,8,311,274,287,274,5595,21203,13787,13644.1666666667,3.63295459747314,5.11704540252686,4.49261379241943,4.46060611804326,0.400000005960464,2.0359091758728,0.898749947547913,1.06964960694313
"21",628,40.7777,-72.9069,110,95,29,8240,275,-49,324,29,189,215,4,1148,108,85,9,307,265,278,290,5634,21194,13860.5,13704.25,3.70000004768372,5.23333311080933,4.64623665809631,4.57455193996429,0.422580629587173,2.07118272781372,0.92166668176651,1.09183690200249
"22",630,40.7777,-72.9069,110,95,29,8240,275,-49,324,29,189,215,4,1148,108,85,9,307,265,278,290,5634,21194,13860.5,13704.25,3.70000004768372,5.23333311080933,4.64623665809631,4.57455193996429,0.422580629587173,2.07118272781372,0.92166668176651,1.09183690200249
"23",680,40.9447,-72.8615,108,96,29,8329,276,-53,329,26,188,214,0,1147,107,86,8,305,267,276,286,5578,21245,13803,13675.3333333333,3.64333319664001,5.14999961853027,4.52499985694885,4.47944442431132,0.40883332490921,2.03733325004578,0.900249987840652,1.06991666307052
"24",681,40.9447,-72.8615,108,96,29,8329,276,-53,329,26,188,214,0,1147,107,86,8,305,267,276,286,5578,21245,13803,13675.3333333333,3.64333319664001,5.14999961853027,4.52499985694885,4.47944442431132,0.40883332490921,2.03733325004578,0.900249987840652,1.06991666307052
"25",685,40.9064,-73.1493,109,96,29,8348,277,-52,329,91,2,216,2,1162,108,84,8,312,279,289,279,5584,21130,13779,13625.6666666667,3.55999994277954,5.05800008773804,4.42349982261658,4.39400003353755,0.400000005960464,2.03429985046387,0.896349996328354,1.06726664304733
"26",687,40.9064,-73.1493,109,96,29,8348,277,-52,329,91,2,216,2,1162,108,84,8,312,279,289,279,5584,21130,13779,13625.6666666667,3.55999994277954,5.05800008773804,4.42349982261658,4.39400003353755,0.400000005960464,2.03429985046387,0.896349996328354,1.06726664304733
"27",728,40.9352,-73.114,109,97,29,8370,278,-52,330,92,1,216,1,1148,106,83,8,308,276,282,276,5570,21285,13789.5,13673.1666666667,3.67111110687256,5.1399998664856,4.52000021934509,4.49037043253581,0.400000005960464,2.03288888931274,0.897333323955536,1.06799999127785
"28",742,40.9352,-73.114,109,97,29,8370,278,-52,330,92,1,216,1,1148,106,83,8,308,276,282,276,5570,21285,13789.5,13673.1666666667,3.67111110687256,5.1399998664856,4.52000021934509,4.49037043253581,0.400000005960464,2.03288888931274,0.897333323955536,1.06799999127785
"29",763,42.3,74.3667,-7,111,26,10461,200,-218,418,57,-151,118,-151,464,77,19,46,200,66,132,66,5753,24105,14785,14741.0833333333,1.60099995136261,2.22900009155273,1.96799993515015,1.92458332578341,0.102399997413158,0.708700001239777,0.366100013256073,0.374441666528583
"30",765,42.1833,73.4,3,112,27,10179,211,-200,411,67,117,127,-135,546,89,22,44,228,84,124,95,5619,24343,14706.5,14746.5833333333,1.38300001621246,2.07100009918213,1.8484999537468,1.75266665220261,0.107799999415874,0.736100018024445,0.384800001978874,0.390808338299394
"31",766,42.5833,73.6333,-48,106,25,10319,159,-252,411,13,-188,78,-188,579,94,26,42,239,94,152,94,5213,23656,14247,14250.1666666667,2.16599988937378,2.83599996566772,2.39649999141693,2.45158332586288,0.0723999962210655,0.579900026321411,0.276950001716614,0.290208330998818
"32",768,42.8,76.35,-4,108,25,10789,201,-219,420,104,-152,125,-152,285,49,5,63,138,21,127,21,5798,23708,14807.5,14713.5,1.95299994945526,2.32400012016296,2.12749993801117,2.12683332959811,0.155699998140335,0.799300014972687,0.421049997210503,0.44129999478658
"33",772,37.35,72.4667,-8,96,25,9283,181,-195,376,-16,102,106,-133,364,57,8,55,164,30,43,110,6290,24124,15333.5,15101.9166666667,1.74300003051758,2.53099989891052,2.07499992847443,2.09308329224586,0.107799999415874,0.667800009250641,0.277750000357628,0.31511666936179
"34",801,37.9169,-84.4639,126,118,33,8488,302,-52,354,213,136,232,13,1173,120,69,15,341,249,319,268,5538,21267,14522.5,14050,2.09999990463257,3.59599995613098,2.92149996757507,2.89291665951411,0.449999988079071,2.17079997062683,0.96944996714592,1.16094165543715
"35",853,41.7976,-86.6691,98,104,27,9545,284,-88,372,216,-16,216,-31,981,100,47,20,290,175,290,179,4196,21836,13724.5,13143.9166666667,3,4.90000009536743,4.37199997901917,4.15125000476837,0.360000014305115,1.96160006523132,0.847949981689453,1.01810834556818
"36",854,41.7976,-86.6691,98,104,27,9545,284,-88,372,216,-16,216,-31,981,100,47,20,290,175,290,179,4196,21836,13724.5,13143.9166666667,3,4.90000009536743,4.37199997901917,4.15125000476837,0.360000014305115,1.96160006523132,0.847949981689453,1.01810834556818
"37",867,41.8266,-86.4366,96,105,28,9566,285,-89,374,215,-18,215,-32,983,100,48,19,286,177,286,183,4119,21717,13667.5,13035.9166666667,3,4.94700002670288,4.3824999332428,4.15391665697098,0.360000014305115,1.94249999523163,0.840550005435944,1.01029167075952
"38",868,41.8266,-86.4366,96,105,28,9566,285,-89,374,215,-18,215,-32,983,100,48,19,286,177,286,183,4119,21717,13667.5,13035.9166666667,3,4.94700002670288,4.3824999332428,4.15391665697098,0.360000014305115,1.94249999523163,0.840550005435944,1.01029167075952
"39",870,41.8266,-86.4366,96,105,28,9566,285,-89,374,215,-18,215,-32,983,100,48,19,286,177,286,183,4119,21717,13667.5,13035.9166666667,3,4.94700002670288,4.3824999332428,4.15391665697098,0.360000014305115,1.94249999523163,0.840550005435944,1.01029167075952
